did,n_samples,n_features,imbalance_ratio,avg_corr,class_sep,best_algo
46468,25000,10,0.0716275879806249,,,DecisionTree
46518,25000,10,0.0716275879806249,,,DecisionTree
46553,25000,13,0.2857436741411232,0.0,26042.74,DecisionTree
46554,25000,13,0.2857436741411232,0.0,26042.74,DecisionTree
46563,25000,13,0.2857436741411232,0.0946492510264265,26042.74,DecisionTree
46565,25000,13,0.2857436741411232,0.0946492510264265,26042.74,DecisionTree
901,25000,10,0.9958486348395338,0.0074232924913041,0.40244284,SVC
727,25000,10,0.9964861843156044,0.005002768229614,1.3649014,SVC
881,25000,10,0.6762773233203702,0.0,14.160376,DecisionTree
42717,25000,9,0.2025012025012025,0.1246445907542115,1219134.9,SVC
41434,25000,11,0.2025012025012025,0.0,1.4963144e+17,LogisticRegression
1220,25000,9,0.2025012025012025,0.1246445907542115,1219134.9,SVC
42733,25000,11,0.2025012025012025,0.0,1.4963144e+17,LogisticRegression
43901,25000,8,0.2025590456491413,0.0,1.9525347e+17,LogisticRegression
251,25000,9,0.5246691467951454,0.5239148755824323,12.771217,SVC
137,25000,9,0.531675039823551,0.0,0.4326131,SVC
44111,25000,7,1.0,0.2143564143795496,0.16336603,DecisionTree
44120,25000,7,1.0,0.2143564143795496,0.16336603,DecisionTree
44156,25000,8,1.0,0.0,0.24737674,DecisionTree
44080,25000,7,1.0,0.0,4.532241,DecisionTree
46371,25000,24,0.2680056806654494,0.0509722505549826,21355.105,LogisticRegression
4135,25000,9,0.061435910499724,0.0,169.21786,LogisticRegression
43900,25000,9,0.061435910499724,0.0,169.21786,LogisticRegression
1119,25000,14,0.3171759747102213,0.0,,DecisionTree
41160,25000,22,0.1054120976299964,0.0,,DecisionTree
46373,25000,23,0.2840267077555213,0.2013663898422802,50704.72,LogisticRegression
46548,25000,23,0.2840267077555213,0.2013663898422802,50704.72,LogisticRegression
42477,25000,23,0.2840267077555213,0.2013663898422802,50704.72,LogisticRegression
46374,25000,23,0.2840267077555213,0.2013663898422802,50704.72,LogisticRegression
46375,25000,23,0.2840267077555213,0.2013663898422802,50704.72,LogisticRegression
46568,25000,30,0.0017229634972152,0.0241238419771324,15048.542,LogisticRegression
46455,25000,30,0.0017229634972152,0.0226544389747175,7050.036,LogisticRegression
42493,25000,7,0.80583646344987,0.0,186.50873,LogisticRegression
45037,24780,7,1.0,0.1504041547859669,2291771000.0,DecisionTree
821,22784,16,0.4204488778054863,0.1488005209271783,11742.497,DecisionTree
843,22784,8,0.4204488778054863,0.09577968288761,4318.026,LogisticRegression
43904,20800,10,0.4745498369488161,0.0,2.7922087,LogisticRegression
43890,20800,11,0.4745498369488161,0.0,2.8619566,DecisionTree
823,20640,8,0.7601910284837115,0.3100303622973041,11524.46,DecisionTree
45578,20640,8,0.999418773612322,0.3137077848398072,562.8838,LogisticRegression
44090,20634,8,1.0,0.1324565205337741,2.8093421,LogisticRegression
43979,20634,8,1.0,0.1324565205337741,2.8093421,LogisticRegression
45028,20634,8,1.0,0.1324565205337741,2.8093421,LogisticRegression
45025,20634,8,1.0,0.1324565205337741,2.8093421,LogisticRegression
977,20000,16,0.042372439672695,0.1828959228488915,5.2868404,SVC
1120,19020,10,0.5423289004216673,0.2787805963106136,49.78058,SVC
45558,17898,8,0.1008057076080939,0.4322322384455342,125.97768,LogisticRegression
45027,16714,10,1.0,0.1304884230669893,974.79236,LogisticRegression
46376,16714,10,1.0,0.1304884230669893,974.79236,LogisticRegression
45024,16714,10,1.0,0.1304884230669893,974.79236,LogisticRegression
44089,16714,10,1.0,0.1304884230669893,974.79236,LogisticRegression
46543,16714,10,1.0,0.1304884230669893,974.79236,LogisticRegression
44162,16644,17,1.0,0.0,185.19704,LogisticRegression
846,16599,18,0.4472927020664399,0.2073120247003347,74.93707,DecisionTree
1046,15545,5,0.4894126664750407,0.1505404179470079,574677.94,SVC
722,15000,48,0.5061753188071092,,24.883625,DecisionTree
1471,14980,14,0.8142182390698801,0.306038768211342,162.5031,SVC
4154,14240,30,0.0016177815291552,0.0261142662502876,24403.066,LogisticRegression
734,13750,40,0.7356728098964908,0.2253984109393435,35.321796,LogisticRegression
44083,13488,16,1.0,0.1547092845503243,12124.906,DecisionTree
44114,13488,16,1.0,0.1547092845503243,12124.906,DecisionTree
44123,13488,16,1.0,0.1547092845503243,12124.906,DecisionTree
44073,13376,10,1.0,0.2741486190712533,49.977123,DecisionTree
44070,13376,10,1.0,0.2741486190712533,49.977123,DecisionTree
44085,13376,10,1.0,0.2741486190712533,49.977123,DecisionTree
44125,13376,10,1.0,0.2741486190712533,49.977123,DecisionTree
44116,13376,10,1.0,0.2741486190712533,49.977123,DecisionTree
45020,13272,20,1.0,0.2524192219963753,50637.094,LogisticRegression
45036,13272,21,1.0,0.0,50637.094,LogisticRegression
959,12960,8,0.5,0.0,1.5,DecisionTree
45060,12330,17,0.1830742659758203,0.0,656.881,LogisticRegression
45560,12330,17,0.1830742659758203,0.0,808.615,LogisticRegression
